0.00	-295.59
0.00	-282.24
0.42	-288.02
0.42	-299.77
0.42	-298.54
0.85	-299.33
0.85	-307.08
1.27	-309.81
1.27	-315.60
1.69	-320.48
1.69	-322.13
1.69	-321.01
2.11	-327.42
2.11	-328.07
2.54	-325.82
2.54	-327.66
2.54	-330.44
2.96	-345.12
2.96	-343.90
3.38	-349.65
3.38	-370.43
3.38	-370.14
3.80	-371.95
3.80	-372.87
4.23	-366.47
4.23	-357.26
4.23	-350.00
4.65	-346.75
4.65	-352.50
5.07	-364.34
5.07	-377.19
5.49	-385.68
5.49	-391.32
5.49	-396.09
5.92	-404.88
5.92	-410.62
6.34	-412.31
6.34	-404.09
6.34	-413.71
6.76	-417.48
6.76	-414.32
7.18	-410.11
7.18	-410.88
7.61	-426.67
7.61	-438.31
7.61	-445.06
8.03	-437.93
8.03	-429.55
8.03	-429.36
8.45	-433.11
8.45	-434.89
8.87	-435.38
8.87	-444.19
8.87	-444.90
9.30	-438.69
9.30	-448.46
9.72	-457.21
9.72	-453.98
10.14	-450.64
10.14	-441.42
10.14	-436.17
10.57	-447.03
10.57	-444.78
10.99	-434.59
10.99	-424.25
10.99	-432.02
11.41	-439.77
11.41	-437.62
11.83	-431.30
11.83	-442.05
11.83	-455.82
12.26	-451.31
12.26	-448.12
12.68	-446.96
12.68	-447.64
12.68	-451.36
13.10	-459.27
13.10	-462.95
13.52	-463.60
13.52	-467.35
13.95	-464.13
13.95	-463.91
13.95	-461.61
14.37	-444.43
14.37	-436.28
14.79	-430.05
14.79	-422.67
14.79	-423.45
15.21	-435.27
15.21	-431.85
15.64	-428.50
15.64	-438.27
15.64	-444.02
16.06	-449.67
16.06	-444.42
16.48	-445.20
16.48	-436.89
16.48	-439.66
16.90	-443.63
16.90	-430.29
17.33	-418.06
17.33	-418.80
17.75	-420.59
17.75	-418.34
17.75	-418.02
18.17	-414.90
18.17	-415.25
18.59	-411.04
18.59	-406.81
18.59	-407.60
19.02	-416.46
19.02	-421.21
19.44	-428.77
19.44	-443.52
19.44	-452.42
19.86	-463.17
19.86	-453.85
20.28	-441.69
20.28	-439.34
20.28	-437.09
20.71	-425.91
20.71	-408.62
21.13	-405.43
